,language,overview,release_date,runtime,title,vote_average,vote_count,company,country,director,genre,star,writer
22,en,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",2010-05-12,140.0,Robin Hood,6.2,1398,Universal Pictures,USA,Ridley Scott,Action,Russell Crowe,Brian Helgeland
23,en,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",2013-12-11,161.0,The Hobbit: The Desolation of Smaug,7.6,4524,Metro-Goldwyn-Mayer (MGM),USA,Peter Jackson,Adventure,Ian McKellen,Fran Walsh
24,en,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",2007-12-04,113.0,The Golden Compass,5.8,1303,New Line Cinema,UK,Chris Weitz,Adventure,Nicole Kidman,Chris Weitz
25,en,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",2005-12-14,187.0,King Kong,6.6,2337,Universal Pictures,New Zealand,Peter Jackson,Action,Naomi Watts,Fran Walsh
26,en,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",1997-11-18,194.0,Titanic,7.5,7562,Twentieth Century Fox Film Corporation,USA,James Cameron,Drama,Leonardo DiCaprio,James Cameron
27,en,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",2016-04-27,147.0,Captain America: Civil War,7.1,7241,Marvel Studios,USA,Anthony Russo,Action,Chris Evans,Christopher Markus
28,en,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",2012-04-11,131.0,Battleship,5.5,2114,Universal Pictures,USA,Peter Berg,Action,Alexander Skarsg弪d,Jon Hoeber
29,en,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",2015-06-09,124.0,Jurassic World,6.5,8662,Universal Pictures,USA,Colin Trevorrow,Action,Chris Pratt,Rick Jaffa
30,en,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",2012-10-25,143.0,Skyfall,6.9,7604,Eon Productions,UK,Sam Mendes,Action,Daniel Craig,Ian Fleming
31,en,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",2004-06-25,127.0,Spider-Man 2,6.7,4321,Columbia Pictures Corporation,USA,Sam Raimi,Action,Tobey Maguire,Stan Lee
32,en,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",2013-04-18,130.0,Iron Man 3,6.8,8806,Marvel Studios,China,Shane Black,Action,Robert Downey Jr.,Drew Pearce
33,en,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",2010-03-03,108.0,Alice in Wonderland,6.4,4645,Walt Disney Pictures,USA,Tim Burton,Adventure,Mia Wasikowska,Linda Woolverton
34,en,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,2013-06-20,104.0,Monsters University,7.0,3528,Walt Disney Pictures,USA,Dan Scanlon,Animation,Billy Crystal,Dan Scanlon
35,en,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",2009-06-19,150.0,Transformers: Revenge of the Fallen,6.0,3138,DreamWorks,USA,Michael Bay,Action,Shia LaBeouf,Ehren Kruger
36,en,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",2014-06-25,165.0,Transformers: Age of Extinction,5.8,3095,Paramount Pictures,USA,Michael Bay,Action,Mark Wahlberg,Ehren Kruger
37,en,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",2014-04-16,142.0,The Amazing Spider-Man 2,6.5,4179,Marvel Enterprises,USA,Marc Webb,Action,Andrew Garfield,Alex Kurtzman
38,en,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",2010-12-10,125.0,TRON: Legacy,6.3,2841,Walt Disney Pictures,USA,Joseph Kosinski,Action,Jeff Bridges,Edward Kitsis
39,en,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,2011-06-11,106.0,Cars 2,5.8,2033,Walt Disney Pictures,USA,John Lasseter,Animation,Owen Wilson,John Lasseter
40,en,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",2011-06-16,114.0,Green Lantern,5.1,2487,Warner Bros.,USA,Martin Campbell,Action,Ryan Reynolds,Greg Berlanti
41,en,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",2010-06-16,103.0,Toy Story 3,7.6,4597,Walt Disney Pictures,USA,Lee Unkrich,Animation,Tom Hanks,John Lasseter
42,en,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",2009-05-20,115.0,Terminator Salvation,5.9,2463,"Halcyon Company, The",USA,McG,Action,Christian Bale,John Brancato
43,en,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,2015-04-01,137.0,Furious 7,7.3,4176,Universal Pictures,USA,James Wan,Action,Vin Diesel,Chris Morgan
44,en,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",2013-06-20,116.0,World War Z,6.7,5560,Paramount Pictures,USA,Marc Forster,Action,Brad Pitt,Matthew Michael Carnahan
45,en,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,2014-05-15,131.0,X-Men: Days of Future Past,7.5,6032,Twentieth Century Fox Film Corporation,USA,Bryan Singer,Action,Patrick Stewart,Simon Kinberg
46,en,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",2013-05-05,132.0,Star Trek Into Darkness,7.4,4418,Paramount Pictures,USA,J.J. Abrams,Action,Chris Pine,Roberto Orci
47,en,"The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.",2013-02-27,114.0,Jack the Giant Slayer,5.5,2598,New Line Cinema,USA,Bryan Singer,Adventure,Nicholas Hoult,Darren Lemke
48,en,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",2010-05-19,116.0,Prince of Persia: The Sands of Time,6.2,2317,Walt Disney Pictures,USA,Mike Newell,Action,Jake Gyllenhaal,Boaz Yakin
49,en,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.",2013-07-11,131.0,Pacific Rim,6.7,4794,Warner Bros.,USA,Guillermo del Toro,Action,Idris Elba,Travis Beacham
50,en,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.",2011-06-28,154.0,Transformers: Dark of the Moon,6.1,3299,Paramount Pictures,USA,Michael Bay,Action,Shia LaBeouf,Ehren Kruger
51,en,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",2008-05-21,122.0,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,Paramount Pictures,USA,Steven Spielberg,Action,Harrison Ford,David Koepp
52,en,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,2015-11-14,93.0,The Good Dinosaur,6.6,1736,Pixar Animation Studios,USA,Peter Sohn,Animation,Jeffrey Wright,Bob Peterson
53,en,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",2012-06-21,93.0,Brave,6.7,4641,Walt Disney Pictures,USA,Mark Andrews,Animation,Kelly Macdonald,Brenda Chapman
54,en,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",2016-07-07,122.0,Star Trek Beyond,6.6,2568,Paramount Pictures,USA,Justin Lin,Action,Chris Pine,Simon Pegg
55,en,"After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother.",2007-08-08,91.0,Rush Hour 3,6.1,783,New Line Cinema,USA,Brett Ratner,Action,Jackie Chan,Jeff Nathanson
56,en,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",2009-10-10,158.0,2012,5.6,4903,Columbia Pictures,USA,Roland Emmerich,Action,John Cusack,Roland Emmerich
57,en,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.",2009-11-04,96.0,A Christmas Carol,6.6,1095,Walt Disney Pictures,USA,Robert Zemeckis,Animation,Jim Carrey,Robert Zemeckis
58,en,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…",2015-02-04,124.0,Jupiter Ascending,5.2,2768,Warner Bros.,USA,Lana Wachowski,Action,Channing Tatum,Lilly Wachowski
59,en,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",2016-06-29,109.0,The Legend of Tarzan,5.5,2430,Warner Bros. Pictures,UK,David Yates,Action,Alexander Skarsg弪d,Adam Cozad
60,en,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",2005-12-07,143.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,Walt Disney Pictures,USA,Andrew Adamson,Adventure,Tilda Swinton,Ann Peacock
61,en,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",2016-05-18,144.0,X-Men: Apocalypse,6.4,4721,Twentieth Century Fox Film Corporation,USA,Bryan Singer,Action,James McAvoy,Simon Kinberg
62,en,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",2008-07-16,152.0,The Dark Knight,8.2,12002,Warner Bros.,USA,Christopher Nolan,Action,Christian Bale,Jonathan Nolan
63,en,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",2009-05-13,96.0,Up,7.7,6870,Pixar Animation Studios,USA,Pete Docter,Animation,Edward Asner,Pete Docter
64,en,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",2008-04-30,126.0,Iron Man,7.4,8776,Paramount Pictures,USA,Jon Favreau,Action,Robert Downey Jr.,Mark Fergus
65,en,"Hugo is an orphan boy living in the walls of a train station in 1930s Paris. He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running. The only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesn't work without a special key which Hugo needs to find to unlock the secret he believes it contains. On his adventures, he meets with a shopkeeper, George Melies, who works in the train station and his adventure-seeking god-daughter. Hugo finds that they have a surprising connection to his father and the automaton, and he discovers it unlocks some memories the old man has buried inside regarding his past.",2011-11-22,126.0,Hugo,7.0,2141,Paramount Pictures,USA,Martin Scorsese,Adventure,Asa Butterfield,John Logan
66,en,Legless Southern inventor Dr. Arliss Loveless plans to rekindle the Civil War by assassinating President U.S. Grant. Only two men can stop him: gunfighter James West and master-of-disguise and inventor Artemus Gordon. The two must team up to thwart Loveless' plans.,1999-06-29,106.0,Wild Wild West,5.1,1020,Peters Entertainment,USA,Barry Sonnenfeld,Action,Will Smith,Jim Thomas
67,en,"Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power.",2008-07-01,112.0,The Mummy: Tomb of the Dragon Emperor,5.2,1387,Universal Pictures,USA,Rob Cohen,Action,Brendan Fraser,Alfred Gough
68,en,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.",2016-08-02,123.0,Suicide Squad,5.9,7458,Atlas Entertainment,USA,David Ayer,Action,Will Smith,David Ayer
69,en,God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.,2007-06-09,96.0,Evan Almighty,5.3,1151,Universal Pictures,USA,Tom Shadyac,Comedy,Steve Carell,Steve Oedekerk
70,en,"Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.",2014-05-27,113.0,Edge of Tomorrow,7.6,4858,Warner Bros.,USA,Doug Liman,Action,Tom Cruise,Christopher McQuarrie
71,en,"In a futuristic world where the polar ice caps have melted and made Earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. They escape, along with her young charge, Enola, and sail off aboard his ship. But the trio soon becomes the target of a menacing pirate who covets the map to 'Dryland' – which is tattooed on Enola's back.",1995-07-28,135.0,Waterworld,5.9,992,Universal Pictures,USA,Kevin Reynolds,Action,Kevin Costner,Peter Rader
